Zip Code,City
91776,SAN GABRIEL
91780,TEMPLE CITY
91784,UPLAND
91786,UPLAND
91789,WALNUT
91790,W COVINA
91791,WEST COVINA
91792,WEST COVINA
91801,ALHAMBRA
91803,ALHAMBRA
91901,ALPINE
91902,BONITA
91906,CAMPO
91910,CHULA VISTA
91911,CHULA VISTA
91913,CHULA VISTA
91914,CHULA VISTA
91915,CHULA VISTA
91932,IMPERIAL BEACH
91935,JAMUL
91941,LA MESA
91942,LA MESA
91945,LEMON GROVE
91950,NATIONAL CITY
91962,PINE VALLEY
91977,SPRING VALLEY
91978,SPRING VALLEY
92003,BONSALL
92004,BORREGO SPRINGS
92007,CARDIFF BY THE SEA
92008,CARLSBAD
92009,CARLSBAD
92010,CARLSBAD
92011,CARLSBAD
92014,DEL MAR
92019,EL CAJON
92020,EL CAJON
92021,EL CAJON
92023,ENCINITAS
92024,ENCINITAS
92025,ESCONDIDO
92026,ESCONDIDO
92027,ESCONDIDO
92028,FALLBROOK
92029,ESCONDIDO
92036,JULIAN
92037,LA JOLLA
92040,LAKESIDE
92054,OCEANSIDE
92055,CAMP PENDLETON
92056,OCEANSIDE
92057,OCEANSIDE
92058,OCEANSIDE
92064,POWAY
92065,RAMONA
92067,RANCHO SANTA FE
92069,SAN MARCOS
92071,SANTEE
92075,SOLANA BEACH
92078,SAN MARCOS
92081,VISTA
92082,VALLEY CENTER
92083,VISTA
92084,VISTA
92091,RANCHO SANTA FE
92093,LA JOLLA
92096,SAN MARCOS
92101,SAN DIEGO
92102,SAN DIEGO
92103,SAN DIEGO
92104,SAN DIEGO
92105,SAN DIEGO
92106,SAN DIEGO
92107,SAN DIEGO
92108,SAN DIEGO
92109,PACIFIC BEACH
92110,SAN DIEGO
92111,SAN DIEGO
92113,SAN DIEGO
92114,SAN DIEGO
92115,SAN DIEGO
92116,SAN DIEGO
92117,SAN DIEGO
92118,CORONADO
92119,SAN DIEGO
92120,SAN DIEGO
92121,SAN DIEGO
92122,SAN DIEGO
92123,SAN DIEGO
92124,SAN DIEGO
92126,SAN DIEGO
92127,SAN DIEGO
92128,RANCHO BERNARDO
92129,SAN DIEGO
92130,SAN DIEGO
92131,SAN DIEGO
92139,SAN DIEGO
92154,SAN DIEGO
92173,SAN YSIDRO
92179,SAN DIEGO
92182,SAN DIEGO
92186,SAN DIEGO
92201,INDIO
92203,BERMUDA DUNES
92210,INDIAN WELLS
92211,PALM DESERT
92220,BANNING
92223,BEAUMONT
92225,BLYTHE
92227,BRAWLEY
92231,CALEXICO
92234,CATHEDRAL CITY
92236,COACHELLA
92240,DESERT HOT SPRINGS
92243,EL CENTRO
92247,LA QUINTA
92250,HOLTVILLE
92251,IMPERIAL
92252,JOSHUA TREE
92253,LA QUINTA
92254,MECCA
92260,PALM DESERT
92261,PALM DESERT
92262,PALM SPRINGS
92264,PALM SPRINGS
92270,RANCHO MIRAGE
92276,THOUSAND PALMS
92277,TWENTY NINE PALMS
92282,WHITEWATER
92284,YUCCA VALLEY
92301,ADELANTO
92307,APPLE VALLEY
92308,APPLE VALLEY
92311,BARSTOW
92313,GRAND TERRACE
92314,BIG BEAR CITY
92315,BIG BEAR LAKE
92316,BLOOMINGTON
92317,BLUE JAY
92320,CALIMESA
92324,COLTON
92325,CRESTLINE
92335,FONTANA
92336,FONTANA
92337,FONTANA
92345,HESPERIA
92346,HIGHLAND
92350,LOMA LINDA
92352,LAKE ARROWHEAD
92354,LOMA LINDA
92363,NEEDLES
92371,PHELAN
92373,REDLANDS
92374,REDLANDS
92375,REDLANDS
92376,RIALTO
92377,RIALTO
92378,RIMFOREST
92392,VICTORVILLE
92394,VICTORVILLE
92395,VICTORVILLE
92399,YUCAIPA
92401,SAN BERNARDINO
92404,SAN BERNARDINO
92405,SAN BERNARDINO
92407,SAN BERNARDINO
92408,SAN BERNARDINO
92410,SAN BERNARDINO
92411,SAN BERNARDINO
92501,RIVERSIDE
92503,RIVERSIDE
92504,RIVERSIDE
92505,RIVERSIDE
92506,RIVERSIDE
92507,RIVERSIDE
92508,RIVERSIDE
92509,RIVERSIDE
92515,RIVERSIDE
92521,RIVERSIDE
92530,LAKE ELSINORE
92532,LAKE ELSINORE
92539,ANZA
92543,HEMET
92544,HEMET
92545,HEMET
92549,IDYLLWILD
92551,MORENO VALLEY
92553,MORENO VALLEY
92555,MORENO VALLEY
92557,MORENO VALLEY
92562,MURRIETA
92563,MURRIETA
92570,PERRIS
92571,PERRIS
92582,SAN JACINTO
92583,SAN JACINTO
92584,MENIFEE
92585,SUN CITY
92586,SUN CITY
92587,CANYON LAKE
92590,TEMECULA
92591,TEMECULA
92592,TEMECULA
92595,WILDOMAR
92596,WINCHESTER
92602,IRVINE
92603,IRVINE
92604,IRVINE
92606,IRVINE
92609,IRVINE
92610,FOOTHILL RANCH
92612,IRVINE
92614,IRVINE
92618,IRVINE
92620,IRVINE
92623,IRVINE
92624,CAPISTRANO BEACH
92625,CORONA DEL MAR
92626,COSTA MESA
92627,COSTA MESA
92629,DANA POINT
92630,LAKE FOREST
92637,LAGUNA WOODS
92646,HUNTINGTON BEACH
92647,HUNTINGTON BEACH
92648,HUNTINGTON BEACH
92649,HUNTINGTON BEACH
92651,LAGUNA BEACH
92653,LAGUNA HILLS
92656,ALISO VIEJO
92657,NEWPORT COAST
92660,NEWPORT BEACH
92661,NEWPORT BEACH
92662,NEWPORT BEACH
92663,NEWPORT BEACH
92669,ORANGE
92672,SAN CLEMENTE
92673,SAN CLEMENTE
92675,SAN JUAN CAPISTRANO
92677,LAGUNA NIGUEL
92679,TRABUCO CANYON
92683,WESTMINSTER
92688,RANCHO SANTA MARGARITA
92691,MISSION VIEJO
92692,MISSION VIEJO
92694,LADERA RANCH
92701,SANTA ANA
92703,SANTA ANA
92704,SANTA ANA
92705,SANTA ANA
92706,SANTA ANA
92707,SANTA ANA
92708,FOUNTAIN VALLEY
92715,IRVINE
92780,TUSTIN
92782,TUSTIN
92801,ANAHEIM
92802,ANAHEIM
92803,ANAHEIM
92804,ANAHEIM
92805,ANAHEIM
92806,ANAHEIM
92807,ANAHEIM
92808,ANAHEIM HILLS
92821,BREA
92822,BREA
92831,FULLERTON
92832,FULLERTON
92833,FULLERTON
92834,FULLERTON
92835,FULLERTON
92840,GARDEN GROVE
92841,GARDEN GROVE
92843,GARDEN GROVE
92844,GARDEN GROVE
92845,GARDEN GROVE
92860,NORCO
92861,VILLA PARK
92865,ORANGE
92866,ORANGE
92867,ORANGE
92868,ORANGE
92869,ORANGE
92870,PLACENTIA
92879,CORONA
92880,EASTVALE
92881,CORONA
92882,CORONA
92883,CORONA
92886,YORBA LINDA
92887,YORBA LINDA
93001,VENTURA
93003,VENTURA
93004,VENTURA
93009,VENTURA
93010,CAMARILLO
93012,CAMARILLO
93013,CARPINTERIA
93015,FILLMORE
93021,MOORPARK
93022,OAK VIEW
93023,OJAI
93024,OJAI
93030,OXNARD
93033,OXNARD
93035,OXNARD
93036,OXNARD
93041,PORT HUENEME
93060,SANTA PAULA
93063,SIMI VALLEY
93065,SIMI VALLEY
93066,SOMIS
93067,SUMMERLAND
93101,SANTA BARBARA
93103,SANTA BARBARA
93105,SANTA BARBARA
93106,SANTA BARBARA
93108,MONTECITO
93109,SANTA BARBARA
93110,SANTA BARBARA
93111,GOLETA
93117,GOLETA
93203,ARVIN
93204,AVENAL
93210,COALINGA
93212,CORCORAN
93215,DELANO
93219,EARLIMART
93221,EXETER
93222,PINE MOUNTAIN
93223,FARMERSVILLE
93225,FRAZIER PARK
93230,HANFORD
93234,HURON
93235,IVANHOE
93238,KERNVILLE
93240,LAKE ISABELLA
93241,LAMONT
93243,LEBEC
93245,LEMOORE
93247,LINDSAY
93250,MC FARLAND
93257,PORTERVILLE
93263,SHAFTER
93265,SPRINGVILLE
93268,TAFT
93271,THREE RIVERS
93274,TULARE
93277,VISALIA
93280,WASCO
93286,WOODLAKE
93291,VISALIA
93292,VISALIA
93301,BAKERSFIELD
93304,BAKERSFIELD
93305,BAKERSFIELD
93306,BAKERSFIELD
93307,BAKERSFIELD
93308,BAKERFIELD
93309,BAKERSFIELD
93311,BAKERSFIELD
93312,BAKERSFIELD
93313,BAKERSFIELD
93314,BAKERSFIELD
93380,BAKERSFIELD
93401,SAN LUIS OBISPO
93402,LOS OSOS
93405,SAN LUIS OBISPO
93407,SAN LUIS OBISPO
93409,SAN LUIS OBISPO
93420,ARROYO GRANDE
93422,ATASCADERO
93424,AVILA BEACH
93427,BUELLTON
93428,CAMBRIA
93430,CAYUCOS
93433,GROVER BEACH
93434,GUADALUPE
93436,LOMPOC
93442,MORRO BAY
93444,NIPOMO
93446,PASO ROBLES
93449,PISMO BEACH
93451,SAN MIGUEL
93454,SANTA MARIA
93455,ORCUTT
93456,SANTA MARIA
93458,SANTA MARIA
93460,SANTA YNEZ
93463,SOLVANG
93465,TEMPLETON
93501,MOJAVE
93505,CALIFORNIA CITY
93510,ACTON
93514,BISHOP
93516,BORON
93529,JUNE LAKE
93534,LANCASTER
93535,LANCASTER
93536,LANCASTER
93539,LANCASTER
93545,LONE PINE
93546,MAMMOUTH LAKES
93550,PALMDALE
93551,PALMDALE
93552,PALMDALE
93555,RIDGECREST
93560,ROSAMOND
93561,TEHACHAPI
93601,AHWAHNEE
93602,AUBERRY
93604,BASS LAKE
93609,CARUTHERS
93610,CHOWCHILLA
93611,CLOVIS
93612,CLOVIS
93614,COARSEGOLD
93615,CUTLER
93618,DINUBA
93619,CLOVIS
93620,DOS PALOS
93622,FIREBAUGH
93625,FOWLER
93626,FRIANT
93630,KERMAN
93631,KINGSBURG
93635,LOS BANOS
93636,MADERA
93637,MADERA
93638,MADERA
93640,MENDOTA
93643,NORTH FORK
93644,OAKHURST
93646,ORANGE COVE
93647,OROSI
93648,PARLIER
93650,FRESNO (N)
93651,PRATHER
93654,REEDLEY
93656,RIVERDALE
93657,SANGER
93660,SAN JOAQUIN
93662,SELMA
93667,TOLLHOUSE
93701,FRESNO
93702,FRESNO
93703,FRESNO
93704,FRESNO
93705,FRESNO
93706,FRESNO
93710,FRESNO
93711,FRESNO
93720,FRESNO
93721,FRESNO
93722,FRESNO
93725,FRESNO
93726,FRESNO
93727,FRESNO
93728,FRESNO
93730,FRESNO
93740,FRESNO
93901,SALINAS
93905,SALINAS
93906,SALINAS
93907,SALINAS
93908,SALINAS
93920,BIG SUR
93921,CARMEL
93922,CARMEL
93923,CARMEL
93924,CARMEL VALLEY
93926,GONZALES
93927,GREENFIELD
93930,KING CITY
93933,MARINA
93940,MONTEREY
93944,PRESIDIO OF MONTEREY
93950,PACIFIC GROVE
93955,SAND CITY
93960,SOLEDAD
94002,BELMONT
94005,BRISBANE
94010,BURLINGAME
94014,COLMA
94015,DALY CITY
94019,HALF MOON BAY
94022,LOS ALTOS
94024,LOS ALTOS
94025,MENLO PARK
94027,ATHERTON
94028,PORTOLA VALLEY
94030,MILLBRAE
94037,MONTARA
94038,MOSS BEACH
94040,MOUNTAIN VIEW
94041,MOUNTAIN VIEW
94043,MOUNTAIN VIEW
94044,PACIFICA
94060,PESCADERO
94061,REDWOOD CITY
94062,REDWOOD CITY
94063,REDWOOD CITY
94065,REDWOOD CITY
94066,SAN BRUNO
94070,SAN CARLOS
94080,SOUTH SAN FRANCISCO
94085,SUNNYVALE
94086,SUNNYVALE
94087,SUNNYVALE
94102,SAN FRANCISCO
94103,SAN FRANCISCO
94104,SAN FRANCISCO
94105,SAN FRANCISCO
94107,SAN FRANCISCO
94108,SAN FRANCISCO
94109,SAN FRANCISCO
94110,SAN FRANCISCO
94111,SAN FRANCISCO
94112,SAN FRANCISCO
94114,SAN FRANCISCO
94115,SAN FRANCISCO
94116,SAN FRANCISCO
94117,SAN FRANCISCO
94118,SAN FRANCISCO
94121,SAN FRANCISCO
94122,SAN FRANCISCO
94123,SAN FRANCISCO
94124,SAN FRANCISCO
94125,SAN FRANCISCO
94127,SAN FRANCISCO
94128,SAN FRANCISCO
94130,SAN FRANCISCO
94131,SAN FRANCISCO
94132,SAN FRANCISCO
94133,SAN FRANCISCO
94134,SAN FRANCISCO
94143,SAN FRANCISCO
94301,PALO ALTO
94303,EAST PALO ALTO
94304,PALO ALTO
94305,STANFORD
94306,PALO ALTO
94401,SAN MATEO
94402,SAN MATEO
94403,SAN MATEO
94404,FOSTER CITY
94501,ALAMEDA
94502,ALAMEDA
94503,AMERICAN CANYON
94505,DISCOVERY BAY
94506,DANVILLE
94507,ALAMO
94509,ANTIOCH
94510,BENICIA
94513,BRENTWOOD
94514,DISCOVERY BAY
94515,CALISTOGA
94517,CLAYTON
94518,CONCORD
94519,CONCORD
94520,CONCORD
94521,CONCORD
94523,PLEASANT HILL
94526,DANVILLE
94530,EL CERRITO
94531,ANTIOCH
94533,FAIRFIELD
94534,FAIRFIELD
94536,FREMONT
94538,FREMONT
94539,FREMONT
94541,HAYWARD
94542,HAYWARD
94544,HAYWARD
94545,HAYWARD
94546,CASTRO VALLEY
94547,HERCULES
94549,LAFAYETTE
94550,LIVERMORE
94551,LIVERMORE
94552,CASTRO VALLEY
94553,MARTINEZ
94555,FREMONT
94556,MORAGA
94558,NAPA
94559,NAPA
94560,NEWARK
94561,OAKLEY
94563,ORINDA
94564,PINOLE
94565,PITTSBURG
94566,PLEASANTON
94567,POPE VALLEY
94568,DUBLIN
94571,RIO VISTA
94574,SAINT HELENA
94577,SAN LEANDRO
94578,SAN LEANDRO
94579,SAN LEANDRO
94580,SAN LORENZO
94582,SAN RAMON
94583,SAN RAMON
94585,SUISUN CITY
94587,UNION CITY
94588,PLEASANTON
94589,VALLEJO
94590,VALLEJO
94591,VALLEJO
94592,VALLEJO
94595,WALNUT CREEK
94596,WALNUT CREEK
94597,WALNUT CREEK
94598,WALNUT CREEK
94599,YOUNTVILLE
94601,OAKLAND
94602,OAKLAND
94605,OAKLAND
94606,OAKLAND
94607,OAKLAND
94608,OAKLAND
94609,OAKLAND
94610,OAKLAND
94611,OAKLAND
94612,OAKLAND
94618,OAKLAND
94619,OAKLAND
94621,OAKLAND(S)
94702,BERKELEY
94703,BERKELEY
94704,BERKELEY
94705,BERKELEY
94706,ALBANY
94707,BERKELEY
94709,BERKLEY
94710,BERKELEY
94720,BERKELEY
94801,POINT RICHMOND
94803,EL SOBRANTE
94804,RICHMOND
94805,RICHMOND
94806,SAN PABLO
94901,SAN RAFAEL
94903,SAN RAFAEL
94904,GREENBRAE
94920,TIBURON
94923,BODEGA BAY
94924,BOLINAS
94925,CORTE MADERA
94928,ROHNERT PARK
94930,FAIRFAX
94931,COTATI
94938,LAGUNITAS
94939,LARKSPUR
94940,MARSHALL
94941,MILL VALLEY
94942,MILL VALLEY
94945,NOVATO
94947,NOVATO
94949,NOVATO
94951,PENNGROVE
94952,PETALUMA
94954,PETALUMA
94956,POINT REYES STATION
94960,SAN ANSELMO
94963,SAN GERONIMO
94964,SAN QUENTIN
94965,SAUSALITO
94970,STINSON BEACH
95001,APTOS
95003,APTOS
95005,BEN LOMOND
95006,BOULDER CREEK
95008,CAMPBELL
95010,CAPITOLA
95012,CASTROVILLE
95014,CUPERTINO
95018,FELTON
95019,FREEDOM
95020,GILROY
95023,HOLLISTER
95030,LOS GATOS
95032,LOS GATOS
95033,LOS GATOS
95035,MILPITAS
95037,MORGAN HILL
95046,SAN MARTIN
95050,SANTA CLARA
95051,SANTA CLARA
95053,SANTA CLARA
95054,SANTA CLARA
95060,SANTA CRUZ
95062,SANTA CRUZ
95065,SANTA CRUZ
95066,SCOTTS VALLEY
95070,SARATOGA
95073,SOQUEL
95076,WATSONVILLE
95110,SAN JOSE
95111,SAN JOSE
95112,SAN JOSE
95113,SAN JOSE
95116,SAN JOSE
95117,SAN JOSE
95118,SAN JOSE
95119,SAN JOSE
95120,SAN JOSE
95121,SAN JOSE
95122,SAN JOSE
95123,SAN JOSE
95124,SAN JOSE
95125,SAN JOSE
95126,SAN JOSE
95127,SAN JOSE
95128,SAN JOSE
95129,SAN JOSE
95130,SAN JOSE
95131,SAN JOSE
95132,SAN JOSE
95133,SAN JOSE
95134,SAN JOSE
95135,SAN JOSE
95136,SAN JOSE
95138,SAN JOSE
95139,SAN JOSE
95148,SAN JOSE
95192,SAN JOSE
95202,STOCKTON
95203,STOCKTON
95204,STOCKTON
95205,STOCKTON
95206,STOCKTON
95207,STOCKTON
95209,STOCKTON
95210,STOCKTON
95212,STOCKTON
95215,STOCKTON
95219,STOCKTON
95221,ALTAVILLE
95222,ANGELS CAMP
95223,ARNOLD
95231,FRENCH CAMP
95236,LINDEN
95237,LOCKEFORD
95240,LODI
95242,LODI
95247,MURPHYS
95249,SAN ANDREAS
95252,VALLEY SPRINGS
95258,WOODBRIDGE
95301,ATWATER
95304,TRACY
95307,CERES
95310,COLUMBIA
95315,DELHI
95319,EMPIRE
95320,ESCALON
95321,GROVELAND
95322,GUSTINE
95324,HILMAR
95326,HUGHSON
95327,JAMESTOWN
95330,LATHROP
95334,LIVINGSTON
95336,MANTECA
95337,MANTECA
95338,MARIPOSA
95340,MERCED
95341,MERCED
95348,MERCED
95350,MODESTO
95351,MODESTO
95354,MODESTO
95355,MODESTO
95356,MODESTO
95357,MODESTO
95358,MODESTO
95360,NEWMAM
95361,OAKDALE
95363,PATTERSON
95365,PLANADA
95366,RIPON
95367,RIVERBANK
95368,SALIDA
95370,SONORA
95376,TRACY
95377,TRACY
95379,TUOLUMNE
95380,TURLOCK
95381,TURLOCK
95382,TURLOCK
95383,TWAIN HARTE
95386,WATERFORD
95389,YOSEMITE NATIONAL PARK
95401,SANTA ROSA
95402,SANTA ROSA
95403,SANTA ROSA
95404,SANTA ROSA
95405,SANTA ROSA
95407,SANTA ROSA
95409,SANTA ROSA
95415,BOONVILLE
95422,CLEARLAKE
95425,CLOVERDALE
95426,COBB
95427,COMPTCHE
95436,FORESTVILLE
95437,FORT BRAGG
95445,GUALALA
95446,GUERNEVILLE
95448,HEALDSBURG
95449,HOPLAND
95450,LITTLE RIVER
95451,KELSEYVILLE
95453,LAKEPORT
95454,LAYTONVILLE
95458,LUCERNE
95460,MENDOCINO
95461,MIDDLETOWN
95465,OCCIDENTAL
95467,HIDDEN VALLEY LAKE
95468,PT ARENA
95472,SEBASTOPOL
95476,SONOMA
95482,UKIAH
95490,WILLITS
95492,WINDSOR
95497,THE SEA RANCH
95501,EUREKA
95502,EUREKA
95503,EUREKA
95519,MCKINLEYVILLE
95521,ARCATA
95531,CRESCENT CITY
95536,FERNDALE
95540,FORTUNA
95542,GARBERVILLE
95546,HOOPA
95558,PETROLIA
95562,RIO DELL
95565,SCOTIA
95567,SMITH RIVER
95570,TRINIDAD
95573,WILLOW CREEK
95602,AUBURN
95603,AUBURN
95604,AUBURN
95608,CARMICHAEL
95610,CITRUSHEIGHTS
95614,COOL
95616,DAVIS
95618,DAVIS
95619,DIAMOND SPRINGS
95620,DIXON
95621,CITRUS HEIGHTS
95624,ELK GROVE
95628,FAIR OAKS
95630,FOLSOM
95631,FORESTHILL
95632,GALT
95634,GEORGETOWN
95640,IONE
95642,JACKSON
95646,KIRKWOOD
95648,LINCOLN
95650,LOOMIS
95655,MATHER
95660,NORTH HIGHLANDS
95661,ROSEVILLE
95662,ORANGEVALE
95663,PENRYN
95665,PINE GROVE
95667,PLACERVILLE
95669,PLYMOUTH
95670,RANCHO CORDOVA
95671,REPRESA
95673,RIO LINDA
95677,ROCKLIN
95678,ROSEVILLE
95682,CAMERON PARK
95683,SLOUGHHOUSE
95685,SUTTER CREEK
95686,THORNTON
95687,VACAVILLE
95688,VACAVILLE
95690,WALNUT GROVE
95691,WEST SACRAMENTO
95692,WHEATLAND
95693,WILTON
95694,WINTERS
95695,WOODLAND
95696,VACAVILLE
95709,CAMINO
95713,COLFAX
95722,MEADOW VISTA
95726,POLLOCK PINES
95735,TWIN BRIDGES
95736,WEIMAR
95742,RANCHO CORDOVA
95746,GRANITE BAY
95747,ROSEVILLE
95757,ELK GROVE
95758,ELK GROVE
95762,EL DORADO HILLS
95765,ROCKLIN
95776,WOODLAND
95811,SACRAMENTO
95814,SACRAMENTO
95815,SACRAMENTO
95816,SACRAMENTO
95817,SACRAMENTO
95818,SACRAMENTO
95819,SACRAMENTO
95820,SACRAMENTO
95821,SACRAMENTO
95822,SACRAMENTO
95823,SACRAMENTO
95824,SACRAMENTO
95825,SACRAMENTO
95826,SACRAMENTO
95827,SACRAMENTO
95828,SACRAMENTO
95829,SACRAMENTO
95831,SACRAMENTO
95832,SACRAMENTO
95833,SACRAMENTO
95834,SACRAMENTO
95835,SACRAMENTO
95838,SACRAMENTO
95841,SACRAMENTO
95842,SACRAMENTO
95843,ANTELOPE
95864,SACRAMENTO
95901,MARYSVILLE
95912,ARBUCKLE
95926,CHICO
95928,CHICO
95929,CHICO
95932,COLUSA
95934,CRESCENT MILLS
95936,DOWNIEVILLE
95945,GRASS VALLEY
95946,PENN VALLEY
95947,GREENVILLE
95948,GRIDLEY
95949,GRASS VALLEY
95953,LIVE OAK
95954,MAGALIA
95959,NEVADA CITY
95961,OLIVEHURST
95962,OREGON HOUSE
95963,ORLAND
95965,OROVILLE
95966,OROVILLE
95969,PARADISE
